number,value,params_algorithm_name,params_episodes_per_epoch,params_epsilon_end,params_epsilon_start,params_gamma,params_learning_rate,params_map_size,params_max_steps_per_episode,params_num_epochs,params_obstacle_density,params_solution_concept,user_attrs_avg_time_per_training_episode_ms,user_attrs_final_avg_collective_reward_last_20pct_epochs,user_attrs_final_avg_individual_reward_agent0,user_attrs_final_avg_individual_reward_agent1,user_attrs_final_avg_td_error_agent0,user_attrs_policy_optimality_proxy_collective_reward,user_attrs_total_training_episodes_ran,user_attrs_total_training_time_seconds,state,duration
0,1.3052631578947367,IQL,40,0.18585924603374268,0.633016382287814,0.9162745161607776,0.0004428470017716576,10,85,288,0.11677843393303791,,8.73898050437371,1.3052631578947367,0.6350877192982457,0.6701754385964912,0.017604855093683237,1.3052631578947367,11520.0,100.67305541038513,COMPLETE,0 days 00:02:00.229275
1,,JALGT,23,0.08945734324792065,0.649248536020164,0.9818890751753948,0.04496047641963915,10,90,265,0.11164744950849226,Pareto,,,,,,,,,FAIL,0 days 00:06:30.347595
